Company, CPU company, CPU model, touchscreen, Link
Dell,None,i5,No,https://www.amazon.in/Dell-G3-3579-15-6-inch-Graphics/dp/B07FZYS95B
Lenovo,amd,None,No,https://www.amazon.in/Lenovo-Processor-15-6-inch-Graphics-81D600BXIN/dp/B07HBGQVDF
Mi,intel,Atom,No,https://www.amazon.in/CERTIFIED-REFURBISHED-Micromax-Lapbook-11-6-inch/dp/B07F9JJDPW
Dell,None,Pentium,No,https://www.amazon.in/Dell-Vostro-3568-Pentium-15-6-inch/dp/B01N4654DE
HP,None,Pentium,No,https://www.amazon.in/HP-BU005TU-15-6-inch-Integrated-Graphics/dp/B0751C1WGF
Lenovo,None,i3,No,https://www.amazon.in/Lenovo-80E502Q8IH-15-6-inch-i3-5005U-Integrated/dp/B015SK6RWQ
Mi,None,i7,No,https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/dp/B07GXV9LS6
Lenovo,None,i7,No,https://www.amazon.in/Lenovo-ThinkPad-E480-i7-8550U-Graphics/dp/B07GSZG59C
Intel,intel,i3,No,https://www.amazon.in/Acer-E5-576-15-6-inch-i3-7020U-Integrated/dp/B07HP7WCCD
Dell,None,i3,No,https://www.amazon.in/Dell-Inspiron-i3277-3838BLK-21-5-inch-Integrated/dp/B07D9L4N47
Lenovo,None,i3,No,https://www.amazon.in/Lenovo-330-81DC00NDIN-Windows-Student/dp/B07KYN4MPT
Aspire,amd,None,No,https://www.amazon.in/Acer-Aspire-ES1-521-NX-G2KSI-024-Diamond/dp/B01C5P1BXM
Aspire,None,Celeron,No,https://www.amazon.in/Acer-A315-31-C0A7-15-6-inch-Integrated-Graphics_Obsidian/dp/B077B3TCNN
HP,None,Celeron,No,https://www.amazon.in/HP-Celeron-15-6-Inch-Windows-BU031TU/dp/B07D7K1Q5S
Lenovo,intel,i5,yes,https://www.amazon.in/Lenovo-Processor-14-inch-Touchscreen-80X800RWIN/dp/B0756HHQB5
Lenovo,intel,Pentium,No,https://www.amazon.in/Lenovo-Ideapad-Pentium-15-6-inch-81D100C8IN/dp/B07H2HRKPJ
Lenovo,None,i3,No,https://www.amazon.in/Lenovo-G50-80-80E502Q3IH-15-6-inch-Graphics/dp/B018JXCMN2
Intel,intel,i3,No,https://www.amazon.in/Dell-3558-Z555103UIN9-i3-4GB-1TB-HDD-15-6inches/dp/B011V4X0E6
Intel,intel,i3,No,https://www.amazon.in/Dell-Inspiron-3542-15-6-inch-i3-4005U/dp/B00O4WJICQ
Reach,intel,Celeron,No,https://www.amazon.in/Reach-Quanto-RCN-025-Braswell-Celeron/dp/B06VT4SJF6
HP,amd,i7,yes,https://www.amazon.in/REFURBISHED-840-G2-I7-16GB-512GB-SSD-Touchscreen-Professional/dp/B07KKN5MN6
Dell,None,i3,No,https://www.amazon.in/Dell-Vostro-3568-Laptop-Windows/dp/B074ZLD6QK
Lenovo,intel,Pentium,No,https://www.amazon.in/Lenovo-V110-15IKB-Intel-Pentium-Laptop/dp/B07KYCWBK6
Asus,None,i5,No,https://www.amazon.in/Asus-R541UV-GO573T-15-6-inch-i5-7200U-Chocolate/dp/B074MCFHNH
Lenovo,None,i3,No,https://www.amazon.in/Lenovo-80XH01XBIN-15-6-inch-I3-6006U-Dedicated/dp/B079Z2N6HQ
Intel,intel,i7,No,https://www.amazon.in/HP-15-dc0084tx-15-6-inch-i7-8750H-Graphics/dp/B07DYHD5TF
Lenovo,None,i3,No,https://www.amazon.in/Lenovo-80E503G1IN-15-6-inch-i3-5005U-Integrated/dp/B01L1BLXNE
Intel,intel,Pentium,No,https://www.amazon.in/HP-15-BS545TU-15-6-inch-Integrated-Graphics/dp/B074S1YP6Z
MSI,None,i7,No,https://www.amazon.in/MSI-GL63-8RD-450IN-15-6-inch-i7-8750H/dp/B07BQ4K767
Intel,intel,i5,No,https://www.amazon.in/Dell-Inspiron-5570-15-6-inch-Graphics/dp/B07GFMSL44
Lenovo,None,i7,No,https://www.amazon.in/Lenovo-330-15-6-inch-i7-8550U-Graphics/dp/B07H1CL57P
Lenovo,None,i3,No,https://www.amazon.in/Lenovo-Ideapad-80XH020KIN-15-6-inch-Integrated/dp/B07CGM49QC
HP,None,i5,No,https://www.amazon.in/HP-15-BS179TX-15-6-inch-i5-8250U-Sparkling/dp/B078K1HRLC
Lenovo,None,None,No,https://www.amazon.in/Lenovo-Ideapad110-80TR0035IH-15-6-inch-Integrated/dp/B06XBRD6YQ
Dell,None,i5,No,https://www.amazon.in/Dell-Inspiron-15-3567-15-6-inch-i5-7200U/dp/B06XVB4VZY
Dell,None,i3,No,https://www.amazon.in/Inspiron-3567-15-6-inch-Gen-Core-i3-7020U/dp/B07GQMHBZG
Lenovo,intel,i5,No,https://www.amazon.in/CERTIFIED-REFURBISHED-Lenovo-15-6-inch-81DE01JXIN/dp/B07L7W32KJ
Intel,intel,i5,No,https://www.amazon.in/HP-Notebook-bs146tu-i5-8250U-diagonal/dp/B0788MDLL6
Asus,None,i3,No,https://www.amazon.in/Asus-X541UV-GO1002-15-6-inch-Corei3-7100U-Chocolate/dp/B07B4JLKVS
Intel,intel,i3,No,https://www.amazon.in/Acer-A315-51-356P-15-6-inch-i3-6006u-520_Obsidian/dp/B075NDWJXD
Lenovo,None,i3,No,https://www.amazon.in/Lenovo-80E502Q6IH-15-6-inch-i3-5005U-Graphics/dp/B017H4M4X2
HP,amd,i7,yes,https://www.amazon.in/REFURBISHED-HP-840-G1-TouchScreen-I7-16GB-512-Professional/dp/B07KKN4S1R
Mi,amd,A4,No,https://www.amazon.in/Acer-ES1-523-40NW-15-6-inch-Graphics-Midnight/dp/B0713WVGD3
Lenovo,None,i3,No,https://www.amazon.in/Lenovo-81H70059IN-15-6-inch-i3-6006U-Integrated/dp/B07HXYBXCQ
Mi,None,Atom,No,https://www.amazon.in/Lenovo-Miix-310-10-1-inch-Integrated/dp/B01LY8LGSG
Intel,intel,i5,No,https://www.amazon.in/Acer-GWJSI-008-15-6-inch-Processor-Graphics/dp/B07GBZQZ97
Dell,None,i3,No,https://www.amazon.in/Dell-15-6-inch-Laptop-Windows-3567/dp/B075VRT329
Mi,None,Pentium,No,https://www.amazon.in/Lenovo-80T700EMIH-15-6-inch-Integrated-Graphics/dp/B01MU2NM2P
Lenovo,None,i3,No,https://www.amazon.in/Lenovo-80E5039EIH-15-6-inch-i3-5005U-Integrated/dp/B019K4013W
ACER,None,i5,No,https://www.amazon.in/Acer-AN515-51-15-6-inch-Notebook-i5-7300HQ/dp/B07CLGV1GK
HP,None,i3,No,https://www.amazon.in/HP-15-AY514TX-15-6-inch-i3-6006U-Graphics/dp/B01MTCB8GD
